Project:,2025-06_STG,,,,,,,,,,
,,,,,,,,,,,
Test:,2025-06-12_20wt%_gelatin_bovine_frequency_sweep,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,41,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,31,,,,,4.1,100,0.45865,,1.76E+09,5.69E-05
,,,,,,,,,,,
Test:,2025-06-12_20wt%_gelatin_bovine_10wt%_cornstarch_strain_sweep,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,41,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,,,,,,,,,,,
,,[rad/s],[Pa],[Pa],[1],[%],[Pa],[mN·m],[°],[mPa·s],[1/s]
,1,1,6222.6,742.13,0.119,0.001,0.062659,0.00028739,6.8,,
,2,1,6302.6,516.47,0.082,0.00125,0.079025,0.00036245,4.68,,
,3,1,5688.6,187.86,0.033,0.00157,0.089348,0.00040979,1.89,,
,4,1,5384.6,335.37,0.062,0.00198,0.10695,0.00049051,3.56,,
,5,1,5504,217.71,0.04,0.00249,0.13734,0.00062993,2.27,,
,6,1,5544.1,233.43,0.042,0.00313,0.17394,0.00079777,2.41,,
,7,1,5266.9,257.88,0.049,0.00395,0.20835,0.00095558,2.8,,
,8,1,5312.2,248.56,0.047,0.00496,0.26404,0.001211,2.68,,
,9,1,5182.2,242.14,0.047,0.00626,0.3249,0.0014902,2.68,,
,10,1,5081.7,265.61,0.052,0.00789,0.40152,0.0018416,2.99,,
,11,1,5044.4,328.7,0.065,0.00991,0.50104,0.002298,3.73,,
,12,1,5042.2,269.35,0.053,0.0125,0.63084,0.0028934,3.06,,
,13,1,4943.6,266.41,0.054,0.0157,0.77763,0.0035666,3.08,,
,14,1,4887.7,271.59,0.056,0.0198,0.96837,0.0044414,3.18,,
,15,1,4831,284.63,0.059,0.025,1.208,0.0055406,3.37,,
,16,1,4804.9,263.61,0.055,0.0314,1.509,0.0069213,3.14,,
,17,1,4750.3,268.53,0.057,0.0395,1.8787,0.0086166,3.24,,
,18,1,4704.7,273.42,0.058,0.0497,2.343,0.010746,3.33,,
,19,1,4653.7,269.22,0.058,0.0625,2.9135,0.013363,3.31,,
,20,1,4616.8,262.78,0.057,0.0789,3.649,0.016736,3.26,,
,21,1,4572.8,261.77,0.057,0.0993,4.5467,0.020853,3.28,,
,22,1,4528.8,261.7,0.058,0.125,5.6616,0.025967,3.31,,
,23,1,4488.5,259.51,0.058,0.157,7.0713,0.032432,3.31,,
,24,1,4452.9,256.9,0.058,0.198,8.8161,0.040435,3.3,,
,25,1,4420.5,257.33,0.058,0.249,11.038,0.050628,3.33,,
,26,1,4389.4,257.4,0.059,0.314,13.814,0.06336,3.36,,
,27,1,4360,259.01,0.059,0.395,17.235,0.079049,3.4,,
,28,1,4329.3,259,0.06,0.497,21.572,0.09894,3.42,,
,29,1,4296.6,259.51,0.06,0.625,26.917,0.12345,3.46,,
,30,1,4261.8,260.68,0.061,0.788,33.626,0.15422,3.5,,
,31,1,4228.7,262.08,0.062,0.994,42.105,0.19311,3.55,,
,32,1,4197.1,265.14,0.063,1.25,52.504,0.24081,3.61,,
,33,1,4161.4,269.11,0.065,1.57,65.552,0.30065,3.7,,
,34,1,4122.5,273.13,0.066,1.98,81.778,0.37507,3.79,,
,35,1,4071.5,281.5,0.069,2.49,101.56,0.4658,3.96,,
,36,1,3997.1,305.39,0.076,3.14,125.94,0.57762,4.37,,
,37,1,3906.4,338.85,0.087,3.95,154.95,0.7107,4.96,,
,38,1,3793.4,380.74,0.1,4.97,189.42,0.86879,5.73,,
,39,1,3600.9,481.49,0.134,6.26,227.49,1.0434,7.62,,
,40,1,3379.4,579.88,0.172,7.87,269.84,1.2376,9.74,,
,41,1,3084.1,796.66,0.258,9.92,316.14,1.45,14.48,,
,,,,,,,,,,,
Test:,2025-06-12_20wt%_gelatin_bovine_strain_sweep 1,,,,,,,,,,
,,,,,,,,,,,
Result:,Frequency sweep 1,,,,,,,,,,
,,,,,,,,,,,
Interval and data points:,1,41,,,,,,,,,
Interval data:,Point No.,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Strain,Shear Stress,Torque,Phase Shift Angle,Viscosity,Shear Rate
,,,,,,,,,,,
,,[rad/s],[Pa],[Pa],[1],[%],[Pa],[mN·m],[°],[mPa·s],[1/s]
,1,1,4842.9,0.24214,0,0.001,0.048451,0.00022222,0,,
,2,1,5378.3,732.26,0.136,0.00125,0.067828,0.00031109,7.75,,
,3,1,7022.7,1297.4,0.185,0.00157,0.11212,0.00051425,10.47,,
,4,1,7238.2,562.66,0.078,0.00198,0.14388,0.00065993,4.44,,
,5,1,7248.5,638.22,0.088,0.00249,0.18151,0.00083249,5.03,,
,6,1,6547.2,195.84,0.03,0.00314,0.20535,0.00094183,1.71,,
,7,1,6533.5,355.91,0.054,0.00395,0.25855,0.0011858,3.12,,
,8,1,6235.2,579.83,0.093,0.00497,0.31102,0.0014265,5.31,,
,9,1,6504.1,321.76,0.049,0.00626,0.40764,0.0018696,2.83,,
,10,1,6247.1,268.98,0.043,0.00789,0.4936,0.0022639,2.47,,
,11,1,6182.2,154.13,0.025,0.00991,0.6131,0.002812,1.43,,
,12,1,6034.5,257.24,0.043,0.0125,0.75449,0.0034605,2.44,,
,13,1,5918.5,247.28,0.042,0.0157,0.93097,0.0042699,2.39,,
,14,1,5848.3,224.64,0.038,0.0198,1.1574,0.0053083,2.2,,
,15,1,5738.9,261.23,0.046,0.025,1.4342,0.0065778,2.61,,
,16,1,5697.8,258,0.045,0.0314,1.7893,0.0082068,2.59,,
,17,1,5605.9,243.15,0.043,0.0395,2.2152,0.01016,2.48,,
,18,1,5525.7,251.22,0.045,0.0497,2.7509,0.012617,2.6,,
,19,1,5469.9,244.81,0.045,0.0625,3.4223,0.015696,2.56,,
,20,1,5433.8,244.07,0.045,0.0789,4.29,0.019676,2.57,,
,21,1,5367,243.25,0.045,0.0993,5.3362,0.024474,2.6,,
,22,1,5317.4,243.76,0.046,0.125,6.6424,0.030465,2.62,,
,23,1,5276.1,240.69,0.046,0.157,8.308,0.038105,2.61,,
,24,1,5227.6,242.48,0.046,0.198,10.349,0.047464,2.66,,
,25,1,5190.8,239.45,0.046,0.249,12.943,0.059364,2.64,,
,26,1,5156.9,236.95,0.046,0.314,16.225,0.074416,2.63,,
,27,1,5125.6,237.58,0.046,0.395,20.256,0.092904,2.65,,
,28,1,5099.2,236.39,0.046,0.497,25.379,0.1164,2.65,,
,29,1,5069.7,234.71,0.046,0.626,31.766,0.14569,2.65,,
,30,1,5046,234.73,0.047,0.787,39.754,0.18233,2.66,,
,31,1,5025.5,235.64,0.047,0.994,49.988,0.22927,2.68,,
,32,1,5002.1,234.79,0.047,1.25,62.572,0.28699,2.69,,
,33,1,4985.8,236.31,0.047,1.57,78.431,0.35972,2.71,,
,34,1,4978.4,237.13,0.048,1.98,98.693,0.45266,2.73,,
,35,1,4993.6,242.34,0.049,2.49,124.41,0.57062,2.78,,
,36,1,5045.1,248.04,0.049,3.14,158.54,0.72713,2.81,,
,37,1,5075.6,253.2,0.05,3.96,201.01,0.92192,2.86,,
,38,1,5083,259.29,0.051,4.97,252.86,1.1597,2.92,,
,39,1,5086.6,269.06,0.053,6.26,318.95,1.4629,3.03,,
,40,1,5085.4,283.64,0.056,7.87,401.05,1.8394,3.19,,
,41,1,5088.6,304.5,0.06,9.91,505.33,2.3177,3.42,,
